Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
283.02;3.9889;852.93;114.46;183.61;358.73;188.29;393.58
283.23;4.0093;851.67;115.20;184.09;358.63;188.80;393.44
283.45;4.0297;850.39;115.95;184.58;358.54;189.31;393.30
283.66;4.0503;849.12;116.71;185.06;358.45;189.83;393.15
283.87;4.0708;847.84;117.47;185.54;358.35;190.34;393.01
284.08;4.0915;846.55;118.23;186.03;358.26;190.86;392.86
284.29;4.1123;845.26;119.00;186.51;358.16;191.38;392.72
284.51;4.1331;843.96;119.78;187.00;358.06;191.90;392.57
284.72;4.1540;842.66;120.56;187.49;357.96;192.42;392.41
284.93;4.1750;841.35;121.36;187.98;357.86;192.94;392.26
285.14;4.1961;840.04;122.15;188.47;357.75;193.46;392.10
285.35;4.2172;838.72;122.95;188.96;357.64;193.98;391.94
285.57;4.2385;837.39;123.76;189.45;357.54;194.51;391.78
285.78;4.2598;836.06;124.58;189.94;357.43;195.04;391.62
285.99;4.2811;834.72;125.40;190.44;357.32;195.57;391.45
286.20;4.3026;833.38;126.23;190.93;357.20;196.09;391.29
286.41;4.3242;832.03;127.07;191.43;357.09;196.63;391.12
286.63;4.3458;830.67;127.91;191.93;356.97;197.16;390.95
286.84;4.3675;829.30;128.77;192.43;356.85;197.69;390.77
287.05;4.3893;827.93;129.62;192.93;356.73;198.23;390.59
287.26;4.4112;826.56;130.49;193.43;356.61;198.77;390.42
287.47;4.4331;825.17;131.36;193.93;356.49;199.30;390.23
287.69;4.4552;823.78;132.24;194.44;356.36;199.84;390.05
287.90;4.4773;822.38;133.13;194.94;356.23;200.39;389.86
288.11;4.4995;820.98;134.03;195.45;356.10;200.93;389.68
288.32;4.5218;819.57;134.93;195.96;355.97;201.47;389.48
288.53;4.5441;818.15;135.84;196.47;355.84;202.02;389.29
288.75;4.5666;816.72;136.76;196.98;355.70;202.57;389.09
288.96;4.5891;815.28;137.69;197.49;355.56;203.12;388.89
289.17;4.6118;813.84;138.63;198.00;355.42;203.67;388.69
289.38;4.6345;812.39;139.57;198.52;355.28;204.22;388.49
289.59;4.6572;810.93;140.53;199.04;355.14;204.78;388.28
289.81;4.6801;809.46;141.49;199.55;354.99;205.34;388.07
290.02;4.7031;807.99;142.46;200.07;354.84;205.90;387.85
290.23;4.7261;806.50;143.44;200.60;354.69;206.46;387.64
290.44;4.7493;805.01;144.43;201.12;354.53;207.02;387.42
290.65;4.7725;803.51;145.43;201.64;354.38;207.58;387.19
290.87;4.7958;802.00;146.44;202.17;354.22;208.15;386.97
291.08;4.8192;800.48;147.46;202.70;354.06;208.72;386.74
291.29;4.8426;798.95;148.49;203.23;353.89;209.29;386.51
291.50;4.8662;797.41;149.53;203.76;353.73;209.86;386.27
291.71;4.8899;795.87;150.58;204.29;353.56;210.44;386.03
291.93;4.9136;794.31;151.64;204.83;353.39;211.02;385.79
292.14;4.9374;792.74;152.71;205.37;353.21;211.59;385.54
292.35;4.9614;791.16;153.79;205.91;353.04;212.18;385.30
292.56;4.9854;789.57;154.89;206.45;352.86;212.76;385.04
292.77;5.0095;787.97;155.99;206.99;352.67;213.35;384.79
292.99;5.0337;786.36;157.11;207.53;352.49;213.94;384.53
293.20;5.0579;784.74;158.24;208.08;352.30;214.53;384.26
293.41;5.0823;783.11;159.38;208.63;352.11;215.12;383.99
293.62;5.1068;781.46;160.53;209.18;351.91;215.72;383.72
293.83;5.1313;779.81;161.70;209.74;351.71;216.32;383.44
294.05;5.1560;778.14;162.88;210.29;351.51;216.92;383.16
294.26;5.1807;776.46;164.07;210.85;351.30;217.52;382.88
294.47;5.2055;774.76;165.28;211.41;351.10;218.13;382.59
294.68;5.2304;773.05;166.50;211.97;350.88;218.74;382.30
294.89;5.2555;771.33;167.73;212.54;350.67;219.35;382.00
295.11;5.2806;769.60;168.98;213.11;350.45;219.97;381.70
295.32;5.3058;767.85;170.24;213.68;350.23;220.59;381.39
295.53;5.3311;766.09;171.52;214.25;350.00;221.21;381.08
295.74;5.3564;764.31;172.82;214.83;349.77;221.84;380.76
295.95;5.3819;762.52;174.13;215.41;349.53;222.46;380.44
296.17;5.4075;760.71;175.46;215.99;349.29;223.10;380.11
296.38;5.4332;758.88;176.80;216.57;349.05;223.73;379.78
296.59;5.4590;757.04;178.16;217.16;348.80;224.37;379.44
296.80;5.4848;755.19;179.54;217.75;348.55;225.01;379.10
297.01;5.5108;753.31;180.94;218.34;348.29;225.66;378.75
297.22;5.5369;751.42;182.35;218.94;348.03;226.31;378.40
297.44;5.5630;749.51;183.79;219.54;347.77;226.96;378.03
297.65;5.5893;747.57;185.24;220.15;347.49;227.62;377.67
297.86;5.6157;745.62;186.72;220.75;347.22;228.29;377.29
298.07;5.6421;743.65;188.22;221.37;346.94;228.95;376.91
298.28;5.6687;741.66;189.73;221.98;346.65;229.62;376.53
298.50;5.6954;739.65;191.27;222.60;346.36;230.30;376.13
298.71;5.7222;737.62;192.84;223.22;346.06;230.98;375.73
298.92;5.7490;735.56;194.43;223.85;345.75;231.67;375.32
299.13;5.7760;733.48;196.04;224.48;345.44;232.36;374.91
299.34;5.8031;731.37;197.67;225.12;345.13;233.05;374.48
299.56;5.8303;729.24;199.34;225.76;344.80;233.75;374.05
299.77;5.8576;727.09;201.03;226.41;344.47;234.46;373.61
299.98;5.8849;724.90;202.75;227.06;344.13;235.17;373.16
300.19;5.9124;722.69;204.50;227.71;343.79;235.89;372.70
300.40;5.9400;720.45;206.28;228.37;343.44;236.62;372.23
300.62;5.9678;718.17;208.09;229.04;343.08;237.35;371.76
300.83;5.9956;715.87;209.93;229.71;342.71;238.09;371.27
301.04;6.0235;713.53;211.80;230.39;342.33;238.83;370.77
301.25;6.0516;711.16;213.72;231.08;341.95;239.59;370.26
301.46;6.0797;708.75;215.67;231.77;341.55;240.35;369.74
301.68;6.1080;706.31;217.65;232.47;341.15;241.11;369.21
301.89;6.1363;703.82;219.68;233.17;340.74;241.89;368.67
302.10;6.1648;701.30;221.75;233.89;340.31;242.68;368.11
302.31;6.1934;698.73;223.87;234.61;339.88;243.47;367.54
302.52;6.2221;696.11;226.03;235.34;339.43;244.27;366.96
302.74;6.2510;693.45;228.24;236.07;338.97;245.09;366.36
302.95;6.2799;690.73;230.50;236.82;338.50;245.91;365.74
303.16;6.3090;687.97;232.82;237.58;338.01;246.75;365.11
303.37;6.3382;685.14;235.19;238.35;337.51;247.60;364.46
303.58;6.3675;682.26;237.62;239.13;337.00;248.46;363.80
303.80;6.3969;679.31;240.12;239.92;336.47;249.33;363.11
304.01;6.4265;676.30;242.69;240.72;335.92;250.22;362.40
304.22;6.4561;673.21;245.32;241.53;335.36;251.12;361.68
304.43;6.4859;670.05;248.04;242.36;334.78;252.04;360.92
304.64;6.5158;666.81;250.84;243.21;334.17;252.98;360.15
304.86;6.5459;663.47;253.73;244.07;333.55;253.94;359.35
305.07;6.5761;660.04;256.72;244.95;332.90;254.91;358.51
305.28;6.6064;656.50;259.81;245.85;332.22;255.91;357.65
305.49;6.6368;652.86;263.01;246.77;331.52;256.93;356.76
305.70;6.6674;649.08;266.34;247.71;330.79;257.98;355.82
305.92;6.6981;645.18;269.80;248.67;330.03;259.05;354.85
306.13;6.7290;641.12;273.41;249.67;329.23;260.16;353.84
306.34;6.7600;636.90;277.19;250.69;328.39;261.31;352.77
306.55;6.7911;632.49;281.15;251.75;327.50;262.49;351.66
306.76;6.8224;627.87;285.32;252.85;326.57;263.71;350.48
306.98;6.8538;623.01;289.73;253.99;325.58;264.99;349.24
307.19;6.8854;617.87;294.41;255.18;324.53;266.32;347.91
307.40;6.9171;612.42;299.41;256.43;323.40;267.73;346.50
307.61;6.9490;606.59;304.78;257.75;322.18;269.21;344.98
307.82;6.9811;600.31;310.60;259.16;320.86;270.79;343.34
308.04;7.0134;593.48;316.96;260.66;319.41;272.48;341.54
308.25;7.0458;585.94;324.02;262.30;317.80;274.33;339.55
308.46;7.0784;577.47;331.98;264.12;315.98;276.37;337.31
308.67;7.1112;567.74;341.20;266.17;313.88;278.69;334.72
308.88;7.1442;556.13;352.27;268.58;311.36;281.42;331.64
309.10;7.1774;541.36;366.43;271.59;308.15;284.85;327.74
309.31;7.2109;519.94;387.12;275.89;303.51;289.76;322.14
309.52;7.2447;452.01;452.01;289.57;289.57;305.60;305.60
