Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
221.12;0.59784;1116.5;15.757;63.297;354.72;63.832;392.66
221.33;0.60290;1115.8;15.884;63.673;354.79;64.214;392.74
221.55;0.60798;1115.1;16.012;64.050;354.85;64.595;392.82
221.76;0.61310;1114.4;16.141;64.427;354.92;64.977;392.91
221.97;0.61825;1113.6;16.271;64.804;354.99;65.359;392.99
222.18;0.62344;1112.9;16.402;65.181;355.06;65.741;393.07
222.39;0.62865;1112.2;16.533;65.558;355.13;66.124;393.15
222.61;0.63390;1111.5;16.665;65.936;355.19;66.506;393.23
222.82;0.63918;1110.8;16.798;66.313;355.26;66.889;393.31
223.03;0.64449;1110.1;16.932;66.691;355.33;67.271;393.39
223.24;0.64984;1109.3;17.067;67.069;355.40;67.654;393.47
223.45;0.65522;1108.6;17.202;67.447;355.46;68.038;393.55
223.67;0.66063;1107.9;17.339;67.825;355.53;68.421;393.63
223.88;0.66608;1107.2;17.476;68.203;355.60;68.804;393.71
224.09;0.67156;1106.4;17.614;68.581;355.66;69.188;393.79
224.30;0.67707;1105.7;17.753;68.960;355.73;69.572;393.87
224.51;0.68262;1105.0;17.893;69.338;355.79;69.956;393.94
224.73;0.68820;1104.3;18.033;69.717;355.86;70.340;394.02
224.94;0.69381;1103.5;18.175;70.096;355.92;70.725;394.10
225.15;0.69946;1102.8;18.317;70.475;355.99;71.109;394.17
225.36;0.70514;1102.1;18.460;70.854;356.05;71.494;394.25
225.57;0.71086;1101.4;18.604;71.233;356.12;71.879;394.33
225.79;0.71661;1100.6;18.749;71.613;356.18;72.264;394.40
226.00;0.72240;1099.9;18.895;71.992;356.25;72.649;394.48
226.21;0.72822;1099.2;19.042;72.372;356.31;73.035;394.55
226.42;0.73407;1098.4;19.189;72.752;356.37;73.420;394.63
226.63;0.73996;1097.7;19.338;73.132;356.44;73.806;394.70
226.85;0.74589;1097.0;19.487;73.512;356.50;74.192;394.77
227.06;0.75185;1096.2;19.638;73.893;356.56;74.578;394.85
227.27;0.75785;1095.5;19.789;74.273;356.62;74.965;394.92
227.48;0.76388;1094.8;19.941;74.654;356.69;75.352;394.99
227.69;0.76995;1094.0;20.094;75.035;356.75;75.738;395.07
227.91;0.77605;1093.3;20.248;75.416;356.81;76.125;395.14
228.12;0.78219;1092.6;20.403;75.797;356.87;76.513;395.21
228.33;0.78837;1091.8;20.559;76.178;356.93;76.900;395.28
228.54;0.79458;1091.1;20.716;76.559;356.99;77.288;395.35
228.75;0.80083;1090.3;20.873;76.941;357.05;77.675;395.42
228.97;0.80711;1089.6;21.032;77.323;357.12;78.063;395.49
229.18;0.81343;1088.8;21.192;77.704;357.18;78.452;395.56
229.39;0.81979;1088.1;21.352;78.086;357.24;78.840;395.63
229.60;0.82618;1087.4;21.514;78.469;357.30;79.228;395.70
229.81;0.83261;1086.6;21.676;78.851;357.35;79.617;395.77
230.03;0.83908;1085.9;21.840;79.234;357.41;80.006;395.83
230.24;0.84559;1085.1;22.004;79.616;357.47;80.395;395.90
230.45;0.85213;1084.4;22.169;79.999;357.53;80.785;395.97
230.66;0.85871;1083.6;22.336;80.382;357.59;81.175;396.04
230.87;0.86533;1082.9;22.503;80.765;357.65;81.564;396.10
231.09;0.87198;1082.1;22.672;81.149;357.71;81.954;396.17
231.30;0.87868;1081.4;22.841;81.532;357.76;82.345;396.23
231.51;0.88541;1080.6;23.011;81.916;357.82;82.735;396.30
231.72;0.89218;1079.9;23.183;82.300;357.88;83.126;396.36
231.93;0.89899;1079.1;23.355;82.684;357.93;83.517;396.43
232.15;0.90583;1078.4;23.528;83.068;357.99;83.908;396.49
232.36;0.91272;1077.6;23.703;83.452;358.05;84.299;396.55
232.57;0.91964;1076.8;23.878;83.837;358.10;84.691;396.62
232.78;0.92661;1076.1;24.055;84.221;358.16;85.082;396.68
232.99;0.93361;1075.3;24.232;84.606;358.22;85.474;396.74
233.21;0.94065;1074.6;24.411;84.991;358.27;85.867;396.80
233.42;0.94773;1073.8;24.590;85.376;358.33;86.259;396.87
233.63;0.95484;1073.0;24.771;85.762;358.38;86.652;396.93
233.84;0.96200;1072.3;24.953;86.147;358.43;87.044;396.99
