Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
264.15;2.7251;977.71;73.479;176.02;397.75;178.80;434.84
264.30;2.7364;976.95;73.819;176.34;397.72;179.14;434.79
264.45;2.7477;976.18;74.160;176.66;397.69;179.47;434.74
264.59;2.7590;975.41;74.502;176.97;397.67;179.80;434.70
264.74;2.7704;974.64;74.846;177.30;397.64;180.14;434.65
264.88;2.7817;973.87;75.192;177.62;397.61;180.47;434.60
265.03;2.7932;973.10;75.539;177.94;397.58;180.81;434.55
265.17;2.8046;972.33;75.888;178.26;397.55;181.14;434.51
265.32;2.8161;971.55;76.238;178.58;397.52;181.48;434.46
265.47;2.8276;970.78;76.590;178.90;397.49;181.81;434.41
265.61;2.8392;970.00;76.944;179.22;397.46;182.15;434.36
265.76;2.8508;969.22;77.299;179.54;397.43;182.48;434.31
265.90;2.8624;968.44;77.656;179.87;397.39;182.82;434.25
266.05;2.8741;967.66;78.014;180.19;397.36;183.16;434.20
266.20;2.8858;966.87;78.374;180.51;397.33;183.50;434.15
266.34;2.8975;966.09;78.736;180.83;397.29;183.83;434.09
266.49;2.9093;965.30;79.099;181.16;397.26;184.17;434.04
266.63;2.9211;964.51;79.464;181.48;397.23;184.51;433.99
266.78;2.9329;963.72;79.831;181.80;397.19;184.85;433.93
266.93;2.9448;962.93;80.199;182.13;397.16;185.19;433.88
267.07;2.9567;962.13;80.569;182.45;397.12;185.53;433.82
267.22;2.9687;961.34;80.941;182.78;397.09;185.87;433.76
267.36;2.9806;960.54;81.314;183.10;397.05;186.21;433.70
267.51;2.9927;959.74;81.689;183.43;397.01;186.55;433.65
267.65;3.0047;958.94;82.066;183.75;396.97;186.89;433.59
267.80;3.0168;958.14;82.445;184.08;396.94;187.23;433.53
267.95;3.0289;957.33;82.826;184.41;396.90;187.57;433.47
268.09;3.0411;956.53;83.208;184.73;396.86;187.91;433.41
268.24;3.0533;955.72;83.592;185.06;396.82;188.25;433.35
268.38;3.0655;954.91;83.978;185.39;396.78;188.60;433.28
268.53;3.0778;954.10;84.365;185.71;396.74;188.94;433.22
268.68;3.0901;953.29;84.755;186.04;396.70;189.28;433.16
268.82;3.1024;952.47;85.146;186.37;396.66;189.63;433.10
268.97;3.1148;951.66;85.539;186.70;396.62;189.97;433.03
269.11;3.1272;950.84;85.934;187.02;396.58;190.31;432.97
269.26;3.1396;950.02;86.331;187.35;396.53;190.66;432.90
269.41;3.1521;949.20;86.729;187.68;396.49;191.00;432.83
269.55;3.1646;948.37;87.130;188.01;396.45;191.35;432.77
269.70;3.1772;947.55;87.532;188.34;396.40;191.69;432.70
269.84;3.1898;946.72;87.937;188.67;396.36;192.04;432.63
269.99;3.2024;945.89;88.343;189.00;396.31;192.39;432.56
270.13;3.2151;945.06;88.751;189.33;396.27;192.73;432.49
270.28;3.2278;944.22;89.162;189.66;396.22;193.08;432.42
270.43;3.2405;943.39;89.574;189.99;396.17;193.43;432.35
270.57;3.2533;942.55;89.988;190.33;396.13;193.78;432.28
270.72;3.2661;941.71;90.404;190.66;396.08;194.13;432.21
270.86;3.2789;940.87;90.822;190.99;396.03;194.48;432.13
271.01;3.2918;940.03;91.243;191.32;395.98;194.83;432.06
271.16;3.3048;939.18;91.665;191.66;395.93;195.18;431.98
271.30;3.3177;938.34;92.089;191.99;395.88;195.53;431.91
271.45;3.3307;937.49;92.515;192.32;395.83;195.88;431.83
271.59;3.3437;936.64;92.944;192.66;395.78;196.23;431.76
271.74;3.3568;935.79;93.374;192.99;395.73;196.58;431.68
271.89;3.3699;934.93;93.807;193.33;395.68;196.93;431.60
272.03;3.3831;934.07;94.242;193.66;395.62;197.28;431.52
272.18;3.3963;933.21;94.679;194.00;395.57;197.64;431.44
272.32;3.4095;932.35;95.118;194.33;395.52;197.99;431.36
272.47;3.4228;931.49;95.559;194.67;395.46;198.34;431.28
272.62;3.4361;930.62;96.003;195.01;395.41;198.70;431.20
272.76;3.4494;929.76;96.448;195.34;395.35;199.05;431.12
272.91;3.4628;928.89;96.896;195.68;395.30;199.41;431.03
273.05;3.4762;928.01;97.346;196.02;395.24;199.76;430.95
273.20;3.4896;927.14;97.799;196.36;395.18;200.12;430.86
273.34;3.5031;926.26;98.253;196.69;395.13;200.48;430.78
273.49;3.5167;925.38;98.710;197.03;395.07;200.83;430.69
273.64;3.5302;924.50;99.170;197.37;395.01;201.19;430.61
273.78;3.5438;923.62;99.631;197.71;394.95;201.55;430.52
273.93;3.5575;922.73;100.10;198.05;394.89;201.91;430.43
274.07;3.5712;921.85;100.56;198.39;394.83;202.27;430.34
274.22;3.5849;920.96;101.03;198.73;394.77;202.62;430.25
274.37;3.5987;920.06;101.50;199.07;394.70;202.98;430.16
274.51;3.6125;919.17;101.97;199.41;394.64;203.34;430.07
274.66;3.6263;918.27;102.45;199.76;394.58;203.71;429.97
274.80;3.6402;917.37;102.93;200.10;394.51;204.07;429.88
274.95;3.6541;916.47;103.41;200.44;394.45;204.43;429.78
275.10;3.6680;915.57;103.89;200.78;394.38;204.79;429.69
275.24;3.6820;914.66;104.38;201.13;394.32;205.15;429.59
275.39;3.6961;913.75;104.87;201.47;394.25;205.52;429.50
275.53;3.7102;912.84;105.36;201.82;394.18;205.88;429.40
275.68;3.7243;911.92;105.85;202.16;394.11;206.25;429.30
275.82;3.7384;911.01;106.35;202.51;394.05;206.61;429.20
275.97;3.7526;910.09;106.85;202.85;393.98;206.98;429.10
276.12;3.7669;909.16;107.35;203.20;393.91;207.34;429.00
276.26;3.7811;908.24;107.85;203.55;393.84;207.71;428.89
276.41;3.7955;907.31;108.36;203.89;393.76;208.08;428.79
276.55;3.8098;906.38;108.87;204.24;393.69;208.44;428.69
276.70;3.8242;905.45;109.38;204.59;393.62;208.81;428.58
276.85;3.8386;904.51;109.89;204.94;393.54;209.18;428.48
276.99;3.8531;903.57;110.41;205.29;393.47;209.55;428.37
277.14;3.8676;902.63;110.93;205.63;393.40;209.92;428.26
277.28;3.8822;901.69;111.46;205.98;393.32;210.29;428.15
277.43;3.8968;900.74;111.98;206.33;393.24;210.66;428.04
277.58;3.9114;899.79;112.51;206.69;393.17;211.03;427.93
277.72;3.9261;898.84;113.04;207.04;393.09;211.40;427.82
277.87;3.9408;897.89;113.58;207.39;393.01;211.78;427.71
278.01;3.9556;896.93;114.11;207.74;392.93;212.15;427.59
278.16;3.9704;895.97;114.65;208.09;392.85;212.52;427.48
278.31;3.9852;895.00;115.20;208.45;392.77;212.90;427.36
278.45;4.0001;894.04;115.75;208.80;392.69;213.27;427.24
278.60;4.0150;893.07;116.29;209.15;392.60;213.65;427.13
278.74;4.0300;892.10;116.85;209.51;392.52;214.03;427.01
278.89;4.0450;891.12;117.40;209.87;392.43;214.40;426.89
279.03;4.0601;890.14;117.96;210.22;392.35;214.78;426.77
279.18;4.0752;889.16;118.52;210.58;392.26;215.16;426.65
279.33;4.0903;888.17;119.09;210.93;392.18;215.54;426.52
279.47;4.1055;887.19;119.66;211.29;392.09;215.92;426.40
