Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
219.07;0.57615;1169.5;15.235;84.411;393.50;84.903;431.32
219.22;0.57972;1169.0;15.326;84.694;393.54;85.190;431.37
219.36;0.58330;1168.5;15.417;84.978;393.58;85.477;431.42
219.51;0.58690;1167.9;15.508;85.261;393.62;85.764;431.47
219.66;0.59052;1167.4;15.599;85.545;393.66;86.051;431.52
219.80;0.59416;1166.9;15.692;85.829;393.70;86.338;431.57
219.95;0.59781;1166.3;15.784;86.112;393.75;86.625;431.62
220.09;0.60148;1165.8;15.877;86.396;393.79;86.912;431.67
220.24;0.60517;1165.3;15.970;86.680;393.83;87.199;431.72
220.39;0.60887;1164.7;16.064;86.964;393.87;87.487;431.77
220.53;0.61259;1164.2;16.158;87.248;393.91;87.774;431.82
220.68;0.61633;1163.7;16.253;87.532;393.95;88.061;431.87
220.82;0.62009;1163.1;16.348;87.816;393.99;88.349;431.92
220.97;0.62386;1162.6;16.444;88.100;394.03;88.636;431.97
221.11;0.62765;1162.1;16.540;88.384;394.07;88.924;432.02
221.26;0.63146;1161.5;16.636;88.668;394.11;89.212;432.06
221.41;0.63528;1161.0;16.733;88.952;394.15;89.499;432.11
221.55;0.63912;1160.5;16.830;89.236;394.19;89.787;432.16
221.70;0.64298;1159.9;16.928;89.521;394.23;90.075;432.21
221.84;0.64686;1159.4;17.026;89.805;394.26;90.363;432.26
221.99;0.65075;1158.8;17.125;90.089;394.30;90.651;432.30
222.14;0.65466;1158.3;17.224;90.374;394.34;90.939;432.35
222.28;0.65859;1157.8;17.323;90.658;394.38;91.227;432.40
222.43;0.66254;1157.2;17.423;90.943;394.42;91.515;432.45
222.57;0.66650;1156.7;17.524;91.227;394.46;91.803;432.49
222.72;0.67049;1156.2;17.625;91.512;394.50;92.092;432.54
222.87;0.67449;1155.6;17.726;91.796;394.53;92.380;432.59
223.01;0.67851;1155.1;17.828;92.081;394.57;92.668;432.63
223.16;0.68254;1154.5;17.930;92.366;394.61;92.957;432.68
223.30;0.68660;1154.0;18.033;92.651;394.65;93.246;432.72
223.45;0.69067;1153.5;18.136;92.935;394.69;93.534;432.77
223.59;0.69476;1152.9;18.239;93.220;394.72;93.823;432.81
223.74;0.69887;1152.4;18.343;93.505;394.76;94.112;432.86
223.89;0.70299;1151.8;18.448;93.790;394.80;94.400;432.90
224.03;0.70714;1151.3;18.553;94.075;394.84;94.689;432.95
224.18;0.71130;1150.7;18.659;94.360;394.87;94.978;432.99
224.32;0.71548;1150.2;18.765;94.645;394.91;95.267;433.04
224.47;0.71968;1149.7;18.871;94.931;394.95;95.557;433.08
224.62;0.72390;1149.1;18.978;95.216;394.98;95.846;433.13
224.76;0.72814;1148.6;19.085;95.501;395.02;96.135;433.17
224.91;0.73239;1148.0;19.193;95.786;395.06;96.424;433.21
225.05;0.73666;1147.5;19.301;96.072;395.09;96.714;433.26
225.20;0.74096;1146.9;19.410;96.357;395.13;97.003;433.30
225.35;0.74527;1146.4;19.520;96.643;395.16;97.293;433.34
225.49;0.74960;1145.8;19.629;96.928;395.20;97.582;433.39
225.64;0.75395;1145.3;19.740;97.214;395.23;97.872;433.43
225.78;0.75831;1144.7;19.851;97.500;395.27;98.162;433.47
225.93;0.76270;1144.2;19.962;97.785;395.31;98.452;433.51
226.08;0.76711;1143.6;20.074;98.071;395.34;98.742;433.56
226.22;0.77153;1143.1;20.186;98.357;395.38;99.032;433.60
226.37;0.77597;1142.5;20.299;98.643;395.41;99.322;433.64
226.51;0.78044;1142.0;20.412;98.929;395.45;99.612;433.68
226.66;0.78492;1141.4;20.526;99.215;395.48;99.902;433.72
226.80;0.78942;1140.9;20.640;99.501;395.51;100.19;433.76
226.95;0.79394;1140.3;20.755;99.787;395.55;100.48;433.80
227.10;0.79848;1139.8;20.870;100.07;395.58;100.77;433.84
227.24;0.80304;1139.2;20.986;100.36;395.62;101.06;433.88
227.39;0.80761;1138.7;21.102;100.65;395.65;101.35;433.92
227.53;0.81221;1138.1;21.219;100.93;395.68;101.65;433.96
227.68;0.81683;1137.6;21.336;101.22;395.72;101.94;434.00
227.83;0.82146;1137.0;21.454;101.50;395.75;102.23;434.04
227.97;0.82612;1136.5;21.572;101.79;395.78;102.52;434.08
228.12;0.83080;1135.9;21.691;102.08;395.82;102.81;434.12
228.26;0.83549;1135.3;21.810;102.36;395.85;103.10;434.16
228.41;0.84021;1134.8;21.930;102.65;395.88;103.39;434.20
228.56;0.84494;1134.2;22.050;102.94;395.92;103.68;434.24
228.70;0.84970;1133.7;22.171;103.22;395.95;103.97;434.27
228.85;0.85447;1133.1;22.293;103.51;395.98;104.27;434.31
228.99;0.85927;1132.6;22.415;103.80;396.01;104.56;434.35
229.14;0.86408;1132.0;22.537;104.09;396.05;104.85;434.39
229.28;0.86892;1131.4;22.660;104.37;396.08;105.14;434.42
229.43;0.87377;1130.9;22.784;104.66;396.11;105.43;434.46
229.58;0.87865;1130.3;22.908;104.95;396.14;105.72;434.50
229.72;0.88354;1129.8;23.033;105.23;396.17;106.02;434.53
229.87;0.88846;1129.2;23.158;105.52;396.20;106.31;434.57
230.01;0.89339;1128.6;23.284;105.81;396.24;106.60;434.61
230.16;0.89835;1128.1;23.410;106.10;396.27;106.89;434.64
230.31;0.90333;1127.5;23.537;106.38;396.30;107.19;434.68
230.45;0.90832;1126.9;23.664;106.67;396.33;107.48;434.71
230.60;0.91334;1126.4;23.792;106.96;396.36;107.77;434.75
230.74;0.91838;1125.8;23.920;107.25;396.39;108.06;434.78
230.89;0.92344;1125.2;24.049;107.53;396.42;108.36;434.82
231.04;0.92852;1124.7;24.179;107.82;396.45;108.65;434.85
231.18;0.93362;1124.1;24.309;108.11;396.48;108.94;434.88
231.33;0.93874;1123.5;24.440;108.40;396.51;109.23;434.92
231.47;0.94388;1123.0;24.571;108.69;396.54;109.53;434.95
231.62;0.94904;1122.4;24.703;108.97;396.57;109.82;434.99
231.76;0.95423;1121.8;24.835;109.26;396.60;110.11;435.02
231.91;0.95943;1121.3;24.968;109.55;396.63;110.41;435.05
232.06;0.96466;1120.7;25.102;109.84;396.65;110.70;435.08
232.20;0.96991;1120.1;25.236;110.13;396.68;110.99;435.12
232.35;0.97517;1119.6;25.371;110.42;396.71;111.29;435.15
232.49;0.98046;1119.0;25.506;110.71;396.74;111.58;435.18
232.64;0.98577;1118.4;25.642;110.99;396.77;111.88;435.21
232.79;0.99111;1117.9;25.778;111.28;396.80;112.17;435.24
232.93;0.99646;1117.3;25.915;111.57;396.82;112.46;435.28
233.08;1.0018;1116.7;26.053;111.86;396.85;112.76;435.31
233.22;1.0072;1116.1;26.191;112.15;396.88;113.05;435.34
233.37;1.0126;1115.6;26.330;112.44;396.91;113.35;435.37
233.52;1.0181;1115.0;26.469;112.73;396.93;113.64;435.40
233.66;1.0235;1114.4;26.609;113.02;396.96;113.94;435.43
233.81;1.0290;1113.8;26.749;113.31;396.99;114.23;435.46
233.95;1.0345;1113.3;26.890;113.60;397.02;114.52;435.49
234.10;1.0401;1112.7;27.032;113.88;397.04;114.82;435.52
234.25;1.0456;1112.1;27.175;114.17;397.07;115.11;435.55
234.39;1.0512;1111.5;27.317;114.46;397.09;115.41;435.58
234.54;1.0568;1110.9;27.461;114.75;397.12;115.70;435.60
234.68;1.0624;1110.4;27.605;115.04;397.15;116.00;435.63
234.83;1.0680;1109.8;27.750;115.33;397.17;116.30;435.66
234.97;1.0737;1109.2;27.895;115.62;397.20;116.59;435.69
235.12;1.0794;1108.6;28.041;115.91;397.22;116.89;435.72
235.27;1.0851;1108.0;28.188;116.20;397.25;117.18;435.74
235.41;1.0908;1107.5;28.335;116.49;397.27;117.48;435.77
235.56;1.0965;1106.9;28.483;116.78;397.30;117.77;435.80
235.70;1.1023;1106.3;28.631;117.07;397.32;118.07;435.82
235.85;1.1081;1105.7;28.781;117.36;397.35;118.37;435.85
236.00;1.1139;1105.1;28.930;117.65;397.37;118.66;435.88
236.14;1.1198;1104.6;29.081;117.94;397.40;118.96;435.90
236.29;1.1256;1104.0;29.232;118.24;397.42;119.25;435.93
236.43;1.1315;1103.4;29.383;118.53;397.44;119.55;435.95
236.58;1.1374;1102.8;29.536;118.82;397.47;119.85;435.98
236.73;1.1433;1102.2;29.689;119.11;397.49;120.15;436.00
236.87;1.1493;1101.6;29.842;119.40;397.51;120.44;436.03
237.02;1.1552;1101.0;29.996;119.69;397.54;120.74;436.05
237.16;1.1612;1100.4;30.151;119.98;397.56;121.04;436.07
237.31;1.1673;1099.9;30.307;120.27;397.58;121.33;436.10
237.45;1.1733;1099.3;30.463;120.56;397.61;121.63;436.12
237.60;1.1794;1098.7;30.620;120.85;397.63;121.93;436.15
237.75;1.1855;1098.1;30.777;121.15;397.65;122.23;436.17
237.89;1.1916;1097.5;30.935;121.44;397.67;122.52;436.19
238.04;1.1977;1096.9;31.094;121.73;397.69;122.82;436.21
238.18;1.2039;1096.3;31.254;122.02;397.72;123.12;436.23
238.33;1.2100;1095.7;31.414;122.31;397.74;123.42;436.26
238.48;1.2163;1095.1;31.575;122.61;397.76;123.72;436.28
238.62;1.2225;1094.5;31.736;122.90;397.78;124.01;436.30
238.77;1.2287;1093.9;31.898;123.19;397.80;124.31;436.32
238.91;1.2350;1093.3;32.061;123.48;397.82;124.61;436.34
239.06;1.2413;1092.7;32.225;123.77;397.84;124.91;436.36
239.21;1.2476;1092.1;32.389;124.07;397.86;125.21;436.38
239.35;1.2540;1091.5;32.554;124.36;397.88;125.51;436.40
239.50;1.2604;1090.9;32.719;124.65;397.90;125.81;436.42
239.64;1.2667;1090.3;32.886;124.94;397.92;126.11;436.44
239.79;1.2732;1089.7;33.053;125.24;397.94;126.41;436.46
239.93;1.2796;1089.1;33.220;125.53;397.96;126.70;436.48
240.08;1.2861;1088.5;33.389;125.82;397.98;127.00;436.50
240.23;1.2926;1087.9;33.558;126.12;398.00;127.30;436.52
240.37;1.2991;1087.3;33.727;126.41;398.02;127.60;436.53
240.52;1.3056;1086.7;33.898;126.70;398.04;127.90;436.55
240.66;1.3122;1086.1;34.069;127.00;398.05;128.20;436.57
240.81;1.3188;1085.5;34.241;127.29;398.07;128.50;436.59
240.96;1.3254;1084.9;34.414;127.58;398.09;128.80;436.60
241.10;1.3320;1084.3;34.587;127.88;398.11;129.11;436.62
241.25;1.3387;1083.7;34.761;128.17;398.12;129.41;436.64
241.39;1.3454;1083.1;34.936;128.46;398.14;129.71;436.65
241.54;1.3521;1082.5;35.111;128.76;398.16;130.01;436.67
241.69;1.3588;1081.9;35.288;129.05;398.18;130.31;436.68
241.83;1.3656;1081.3;35.465;129.35;398.19;130.61;436.70
241.98;1.3723;1080.7;35.642;129.64;398.21;130.91;436.71
242.12;1.3791;1080.0;35.821;129.94;398.23;131.21;436.73
242.27;1.3860;1079.4;36.000;130.23;398.24;131.51;436.74
242.42;1.3928;1078.8;36.180;130.52;398.26;131.82;436.75
242.56;1.3997;1078.2;36.361;130.82;398.27;132.12;436.77
242.71;1.4066;1077.6;36.542;131.11;398.29;132.42;436.78
242.85;1.4136;1077.0;36.725;131.41;398.30;132.72;436.79
243.00;1.4205;1076.4;36.908;131.70;398.32;133.02;436.81
243.14;1.4275;1075.8;37.091;132.00;398.33;133.33;436.82
243.29;1.4345;1075.1;37.276;132.29;398.35;133.63;436.83
243.44;1.4415;1074.5;37.461;132.59;398.36;133.93;436.84
243.58;1.4486;1073.9;37.647;132.89;398.38;134.23;436.86
243.73;1.4557;1073.3;37.834;133.18;398.39;134.54;436.87
243.87;1.4628;1072.7;38.022;133.48;398.40;134.84;436.88
244.02;1.4699;1072.0;38.210;133.77;398.42;135.14;436.89
244.17;1.4771;1071.4;38.399;134.07;398.43;135.45;436.90
244.31;1.4843;1070.8;38.589;134.36;398.44;135.75;436.91
244.46;1.4915;1070.2;38.780;134.66;398.46;136.05;436.92
244.60;1.4987;1069.6;38.971;134.96;398.47;136.36;436.93
244.75;1.5060;1068.9;39.164;135.25;398.48;136.66;436.94
244.90;1.5133;1068.3;39.357;135.55;398.49;136.97;436.94
245.04;1.5206;1067.7;39.551;135.85;398.51;137.27;436.95
245.19;1.5279;1067.1;39.745;136.14;398.52;137.58;436.96
245.33;1.5353;1066.4;39.941;136.44;398.53;137.88;436.97
245.48;1.5427;1065.8;40.137;136.74;398.54;138.18;436.98
245.62;1.5501;1065.2;40.335;137.03;398.55;138.49;436.98
245.77;1.5576;1064.6;40.533;137.33;398.56;138.79;436.99
245.92;1.5650;1063.9;40.731;137.63;398.57;139.10;437.00
246.06;1.5725;1063.3;40.931;137.93;398.58;139.41;437.00
246.21;1.5801;1062.7;41.131;138.22;398.59;139.71;437.01
246.35;1.5876;1062.0;41.333;138.52;398.60;140.02;437.01
246.50;1.5952;1061.4;41.535;138.82;398.61;140.32;437.02
246.65;1.6028;1060.8;41.738;139.12;398.62;140.63;437.02
246.79;1.6104;1060.1;41.942;139.42;398.63;140.93;437.03
246.94;1.6181;1059.5;42.146;139.71;398.64;141.24;437.03
247.08;1.6258;1058.9;42.352;140.01;398.65;141.55;437.04
247.23;1.6335;1058.2;42.558;140.31;398.66;141.85;437.04
247.38;1.6412;1057.6;42.765;140.61;398.67;142.16;437.04
247.52;1.6490;1056.9;42.974;140.91;398.67;142.47;437.05
247.67;1.6568;1056.3;43.183;141.21;398.68;142.78;437.05
247.81;1.6646;1055.7;43.392;141.51;398.69;143.08;437.05
247.96;1.6724;1055.0;43.603;141.81;398.70;143.39;437.05
248.11;1.6803;1054.4;43.815;142.10;398.70;143.70;437.05
248.25;1.6882;1053.7;44.027;142.40;398.71;144.01;437.06
248.40;1.6961;1053.1;44.240;142.70;398.72;144.31;437.06
248.54;1.7041;1052.5;44.455;143.00;398.72;144.62;437.06
248.69;1.7121;1051.8;44.670;143.30;398.73;144.93;437.06
248.83;1.7201;1051.2;44.886;143.60;398.74;145.24;437.06
248.98;1.7281;1050.5;45.103;143.90;398.74;145.55;437.06
249.13;1.7362;1049.9;45.320;144.20;398.75;145.86;437.06
249.27;1.7443;1049.2;45.539;144.50;398.75;146.17;437.06
249.42;1.7524;1048.6;45.759;144.80;398.76;146.48;437.05
249.56;1.7605;1047.9;45.979;145.10;398.76;146.78;437.05
249.71;1.7687;1047.3;46.201;145.41;398.77;147.09;437.05
249.86;1.7769;1046.6;46.423;145.71;398.77;147.40;437.05
250.00;1.7851;1046.0;46.647;146.01;398.77;147.71;437.04
250.15;1.7934;1045.3;46.871;146.31;398.78;148.02;437.04
250.29;1.8017;1044.7;47.096;146.61;398.78;148.33;437.04
250.44;1.8100;1044.0;47.322;146.91;398.78;148.64;437.03
250.59;1.8183;1043.3;47.549;147.21;398.79;148.96;437.03
250.73;1.8267;1042.7;47.777;147.51;398.79;149.27;437.02
