12502.0288190523	12776.9198361978	13009.4640523062	13270.5260941555	13499.2310718371	13730.7729861808	13898.7777386837	14019.6000278662	14156.8993693873	14278.1121098579	14394.790447822
12115.1128689917	12398.6495078842	12657.5419497515	12905.7327545659	13154.1517643895	13376.0619782506	13562.359870357	13720.5933710711	13831.8959771454	13964.4852170196	14112.1910051101
11765.6135348135	12040.3032235546	12298.9557593808	12537.2945958389	12803.6672267829	13029.8047646479	13232.377488232	13383.995094704	13549.4940156744	13679.2108128037	13799.3645840432
11499.3432996747	11714.8639726438	11965.6969012107	12194.8352241064	12448.5245514575	12689.3518558174	12892.3545473908	13070.1632049297	13234.3621860926	13373.5291380752	13505.8189815274
11266.7690116654	11452.1411463744	11663.4960828206	11892.039292593	12103.6121001488	12346.6547458765	12565.9613325687	12751.2794030442	12927.2403471455	13058.4122038385	13188.7870705556
11063.4612611216	11238.0483421122	11427.8048921149	11602.8685413732	11809.9796485206	12020.8211357176	12240.7901457054	12430.5215477274	12584.692529717	12756.4665441556	12893.703874044
10871.4020240797	11042.138103065	11215.022794132	11373.1046477228	11536.406784876	11724.2986223779	11917.9674006496	12109.9517161925	12288.8928544413	12453.8621615315	12597.5921789034
10686.1992006731	10870.4301394471	11014.746295616	11161.8263401956	11309.9231704047	11474.2373390444	11636.8061974259	11803.8790546161	11975.3421042545	12146.098927572	12293.9991370336
10531.8720606718	10688.9074222794	10837.1515996203	10984.8043331288	11117.3239805739	11245.7591210354	11394.9979437689	11546.3537148539	11696.0886733576	11852.8800748549	12001.1968151853
10382.1178425701	10522.5666104719	10666.5035580359	10801.4020252214	10928.9315010976	11054.731319385	11178.608754293	11319.8101137117	11434.6739118498	11569.8676170221	11721.664472209
10235.9984580988	10373.592191883	10508.1215639871	10633.39684741	10744.7890948653	10863.4514658514	10972.3760309969	11097.4217426756	11218.1548848386	11332.5601775509	11455.1997619594
10079.5672249974	10212.3594398897	10343.8389679821	10470.8005914133	10580.9934790674	10685.5231723564	10790.5825957097	10886.1406668892	11006.3646956964	11118.7961656608	11217.9627652181
9952.9376289607	10066.9410282761	10188.0339019225	10291.6589962922	10406.2865870414	10511.3579413128	10600.8323539145	10703.5018066893	10799.1921312642	10909.9501771481	11016.1157810718
9811.3974848866	9919.2342739951	10037.8703198724	10139.8311564971	10241.5720830449	10337.7161496386	10430.3067069602	10512.6797044649	10604.7474894064	10703.942030271	10803.9085963446
9678.83009277283	9783.21683542517	9884.21567491816	9986.70308572004	10079.4588539647	10170.9417925719	10252.6619012296	10341.465881649	10427.6387934282	10510.9631081574	10602.2101359157
9673.8506385919	9639.18543408611	9735.55082911671	9831.26287313455	9925.76712607826	10009.5469685543	10094.9736941216	10169.4122404519	10249.674034185	10320.1092924511	10399.14779059
